Tanggal,Judul,Isi Berita,Narasi,Clean Narasi,hoax
8-Nov-22,ISEKDA SUMEDANG MEMBAGIKAN DONASI KEPADA LEMBAGA,HOAX-Imposter Content,"Beredar akun whatsapp mengatasnamakan Sekda Sumedang, Herman Suryatman. Akun yang bersangkutan mengirimkan pesan akan memberikan donasi kepada lembaga melalui program apresiasi peduli pendidikan kebudayaan dan metode penghapal al-quran. Dilansir oleh akun @halosumedang_, yang merupakan akun sosial media Prokopim Sumedang, bahwa akun whatsapp yang beredar adalah penipuan. Kami mengimbau kepada warga Sumedang untuk berhati-hati dan tidak merespon jika ada yang mengatasnamakan Sekda Sumedang. Kesimpulan: Sekda Sumedang Membagikan Donasi Kepada Lembaga adalah tidak benar.","Beredar akun whatsapp mengatasnamakan Sekda Sumedang, Herman Suryatman, yang mengirimkan pesan memberikan donasi kepada lembaga melalui program apresiasi peduli pendidikan kebudayaan dan metode penghapal al-quran. Akun @halosumedang_ (Prokopim Sumedang) menyatakan akun whatsapp tersebut penipuan. Sekda Sumedang Membagikan Donasi Kepada Lembaga adalah tidak benar.",1
23-Jan-23,PENCULIKAN ANAK SEKOLAH DI RANCAKALONG. 9 SISWA SD DIPAKSA MASUK MOBIL,Misleading content,"Setelah melakukan penelusuran, Polres Sumedang AKBP menyatakan bahwa isu penculikan anak sekolah di Rancakalong, Sumedang Jawa Barat (Jabar) adalah bohong.","Polres Sumedang AKBP menyatakan bahwa isu penculikan anak sekolah di Rancakalong, Sumedang Jawa Barat adalah bohong.",1
25-Jan-23,NOMOR WHATSAPP MENGATASNAMAKAN KETUA BAZNAS KABUPATEN SUMEDANG,IMPOSTER CONTENT,"Dilansir dari kabarpriangan pikiran-rakyat.com, akun tersebut bukanlah milik Ayi Sutihan. Ayi menyebutkan, penipu yang menggunakan nama dan foto dirinya itu menawarkan jasa lelang kendaraan baru dengan suku bunga 0%. Pembayaran dapat dilakukan secara tunai atau dapat juga diangsur. Namun, penipu tersebut meminta ditransfer untuk uang mukanya dulu saja.",Penipu mengatasnamakan Ketua Baznas Sumedang (Ayi Sutihan) menawarkan jasa lelang kendaraan baru dengan suku bunga 0% dan meminta transfer uang muka. Ayi Sutihan menyatakan akun tersebut bukan miliknya.,1
13-Jun-23,KARNAVAL SMTV DI ALUN-ALUN PASEH KABUPATEN SUMEDANG,Imposter content,"Telah tersebar poster ""Karnaval SMTV"" yang katanya akan digelar Sabtu dan Minggu 17-18 Juni di Alun-alun Paseh Kabupaten Sumedang, acara tersebut sebut akan dimeriahkan oleh beberapa artis seperti Sule, Mang Adeng, Dede Sunandar, Pesulap Merah dan Marsel.","Telah tersebar poster ""Karnaval SMTV"" yang diklaim akan digelar 17-18 Juni di Alun-alun Paseh Sumedang dan dimeriahkan oleh artis seperti Sule, Dede Sunandar, Pesulap Merah.",1
27-Jun-23,HATI-HATI! PENIPUAN MENGATASNAMAKAN GURU SMAN 1 CONGGEANG,Penipuan,"Beredar nomer WhatsApp yang mengaku sebagai Guru SMAN 1 Conggeang, menawarkan beberapa amalan pulsa dan saldo elektronik dengan alasan nomor tersebut adalah kartu berhadiah. Diimbau berhati-hati jangan langsung mentransfer apapun kepada nomor tersebut. BERIKUT NOMORNYA: +62 831-4655-8258.",Beredar nomor WhatsApp mengatasnamakan Guru SMAN 1 Conggeang yang menawarkan amalan pulsa/saldo elektronik (kartu berhadiah) dan meminta transfer. Masyarakat diimbau berhati-hati.,1
4-Aug-23,HATI-HATI PENIPUAN MENGATASNAMAKAN DANDIM 0610 SUMEDANG,Penipuan,Dandim 0610 Sumedang menyampaikan ada nomor baru yang mengatasnamakan Dandim Sumedang dan meminta barang. Berhati-hatilah dan abaikan pesan tersebut karena saat ini Dandim 0610 Sumedang yang sah tidak sedang meminta apapun.,Beredar nomor baru mengatasnamakan Dandim 0610 Sumedang yang meminta barang. Dandim 0610 Sumedang mengimbau masyarakat untuk mengabaikan pesan tersebut.,1
22-Sep-23,HATI-HATI PENIPUAN MENGATASNAMAKAN KEMENAG SUMEDANG,Penipuan,"Baru-baru ini ada akun yang mengatasnamakan Kepala Kemenag Sumedang dan Bapak SASANG ARIPUDIN, MA. Kemenag Sumedang tidak pernah meminta uang atau sesuatu apapun melalui WhatsApp.","Beredar akun mengatasnamakan Kepala Kemenag Sumedang (Bapak Sasang Aripudin, MA). Kemenag Sumedang menegaskan tidak pernah meminta uang atau sesuatu apapun melalui WhatsApp.",1
11-Oct-23,PJ BUPATI SUMEDANG MEMINTA DONASI UNTUK BANTUAN TEMPAT IBADAH DAN MADIN SUMEDANG,Impostor content,Beredar sebuah akun WhatsApp mengatasnamakan Pj Bupati Sumedang Herman Suryatman dengan nomor +62 821-3245-7379 menyampaikan perihal Bantuan Donasi yang dibagikan oleh Pemkab diperuntukan tempat ibadah dan madin khususnya di wilayah Pemkab Sumedang.,Beredar akun WhatsApp mengatasnamakan Pj Bupati Sumedang Herman Suryatman yang meminta Donasi untuk bantuan tempat ibadah dan madin.,1
1-Jan-24,LANTAI 7 RSUD SUMEDANG RUNTUH DAN AKAN ADA GEMPA SUSULAN,Misleading content,"Postingan di berbagai media sosial tentang kondisi Bangunan RSUD Sumedang yang runtuh akibat gempa M4.8 sudah tersebar luas, juga adanya kabar bahwa akan ada gempa susulan tidak lama setelah gempa sebelumnya.",Beredar postingan media sosial yang mengklaim lantai 7 RSUD Sumedang runtuh akibat gempa M4.8 dan akan ada gempa susulan.,1
1-Jan-24,KORBAN CEDERA AKIBAT GEMPA SUMEDANG DI RSUD SUMEDANG,Misleading content,Beredar video pasca gempa bumi Sumedang yang diinterpretasi bahwa orang-orang yang berada pada video tersebut adalah para korban bencana gempa bumi yang terjadi pada Minggu malam 31 Desember 2023.,Beredar video pasca gempa Sumedang yang salah diinterpretasikan bahwa orang-orang di video adalah korban cedera gempa.,1
